ITEM,PRICE($),QUANTITY,PURPOSE,LINK
ESP32S,10.69,1,Microcontroller,https://dualtronica.com/tarjetas-desarrollo/1020-tarjeta-esp32-s3-n16r8-devkitc-44-pines-doble-usb-c.html
MOSFET IRFZ44N TO-220,0.94,1,Grow Light PWM Control,https://dualtronica.com/componentes-electronicos/972-mosfet-irfz44n-to-220.html
MOSFET IRF540N TO-220 x1,0.79,1,Irrigation Pump Switching (12V),https://dualtronica.com/componentes-electronicos/973-mosfet-irf540-to-220.html
MOSFET IRF540N TO-220 x1,0.79,1,Humidifier Pump Switching (12V),https://dualtronica.com/componentes-electronicos/973-mosfet-irf540-to-220.html
MOSFET IRF540N TO-220 x2,1.57,1,PTC Heater Control (12V),https://dualtronica.com/componentes-electronicos/973-mosfet-irf540-to-220.html
2-Channel Relay Module 5V,3.77,1,Fan / Extractor Control,https://dualtronica.com/modulos/168-modulo-rele-2-canales.html
1-Channel Relay Module 5V,2.51,1,Humidifier Control,https://dualtronica.com/modulos/55-modulo-rele-1-canal.html
"TTL to RS485 Module (MAX485, UART to RS485 5V)",1.89,1,Soil Sensor Interface,https://dualtronica.com/modulos/55-modulo-rele-1-canal.html
Boost Converter Module XL6009 12V->24V,3.14,1,Fan Voltage Boost,https://dualtronica.com/modulos/574-convertidor-dc-dc-elevador-y-reductor-xl6009-lm2577s-buck-boost-2-en-1.html
Diode 1N4007 x20,1.59,1,"Flyback Protection (PTC, Pumps, Fan, Extractor)",https://dualtronica.com/componentes-electronicos/754-diodo-rectificador-1n4007-1a-1000v.html
Capacitor 100uF 25V x5,1.57,1,Power Rail Filtering,"https://www.google.com/maps/place/Mundo+Digital+S.E/@4.8152129,-75.6919154,128m/data=!3m1!1e3!4m5!3m4!1s0x8e38874835adc93d:0x32f5354dd990c744!8m2!3d4.8150351!4d-75.6919169?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D"
Resistor 10K ohm x2,0.38,1,DHT22 Pull-up,"https://www.google.com/maps/place/Mundo+Digital+S.E/@4.8152129,-75.6919154,128m/data=!3m1!1e3!4m5!3m4!1s0x8e38874835adc93d:0x32f5354dd990c744!8m2!3d4.8150351!4d-75.6919169?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D"
Resistor 1K ohm x4,0.75,1,IRF540N Gate Resistor (Irrigation Pump),"https://www.google.com/maps/place/Mundo+Digital+S.E/@4.8152129,-75.6919154,128m/data=!3m1!1e3!4m5!3m4!1s0x8e38874835adc93d:0x32f5354dd990c744!8m2!3d4.8150351!4d-75.6919169?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D"
Resistor 1K ohm x4,0.75,1,IRF540N Gate Resistor (Humidifier Pump),"https://www.google.com/maps/place/Mundo+Digital+S.E/@4.8152129,-75.6919154,128m/data=!3m1!1e3!4m5!3m4!1s0x8e38874835adc93d:0x32f5354dd990c744!8m2!3d4.8150351!4d-75.6919169?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D"
2-Pin Blue Terminal Block x10,1.89,1,ESP32 to Power Actuator Wiring,"https://www.google.com/maps/place/Mundo+Digital+S.E/@4.8152129,-75.6919154,128m/data=!3m1!1e3!4m5!3m4!1s0x8e38874835adc93d:0x32f5354dd990c744!8m2!3d4.8150351!4d-75.6919169?entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D"
